"","QV5e-04","QV0.0015","QV0.0025","QV0.0035","QV0.0045","QV0.0055"
"merT-26.875",0.303245703110309,0,0,0,0,0
"merT-23.125",1.51859791643161,0,0,0,0,0
"merT-19.375",1.99405769303095,1.27297002519839,0,0,0,0
"merT-15.625",1.02630787167626,4.32077174771522,0,0,0,0
"merT-11.875",0.754381511151228,4.5,2.09511452104254,0,0,0
"merT-8.125",0.399996239046222,1.79196284177667,3.43862123434503,0.540270412576629,0,0
"merT-4.375",0.132103501447967,0.514940388882621,0.780924442438602,1.16238858174433,0.216555718530219,0
"merT-0.625",0.0246060400917673,0.0696058520440784,0.101686787769378,0.122174583474369,0.291041408101094,0.0683177253751551
"merT3.125",0,0,0,0,0.00897927714468389,0.00451314453345368
