merTbin,tempbin,merQVbin,dglaciation,dcloudthickness,alln,merT,temp,merQV
19,NA,4,NA,NA,NA,-2.5,NA,0.003
20,NA,4,NA,NA,NA,1.25,NA,0.003
12,NA,5,NA,NA,NA,-28.75,NA,0.004
13,NA,5,NA,NA,NA,-25,NA,0.004
14,NA,5,NA,NA,NA,-21.25,NA,0.004
15,NA,5,NA,NA,NA,-17.5,NA,0.004
16,NA,5,NA,NA,NA,-13.75,NA,0.004
17,NA,5,NA,NA,NA,-10,NA,0.004
18,NA,5,NA,NA,NA,-6.25,NA,0.004
19,NA,5,NA,NA,NA,-2.5,NA,0.004
20,NA,5,NA,NA,NA,1.25,NA,0.004
12,NA,6,NA,NA,NA,-28.75,NA,0.005
13,NA,6,NA,NA,NA,-25,NA,0.005
14,NA,6,NA,NA,NA,-21.25,NA,0.005
15,NA,6,NA,NA,NA,-17.5,NA,0.005
16,NA,6,NA,NA,NA,-13.75,NA,0.005
17,NA,6,NA,NA,NA,-10,NA,0.005
18,NA,6,NA,NA,NA,-6.25,NA,0.005
19,NA,6,NA,NA,NA,-2.5,NA,0.005
20,NA,6,NA,NA,NA,1.25,NA,0.005
