altitude,fCice,fCmpc,fCliq
1.05,17.718457045105,44.9115775013288,37.0509344217913
2,27.7212466292716,54.1207034438772,17.9216636904219
3,39.1650270694693,51.0530474810787,9.53989291703444
4,51.8267643406411,44.0384228814289,3.83598448740425
5,65.4489911216273,32.6643546853691,1.47379315791232
6,78.0546225729023,21.0233430158016,0.388545822176075
7,86.4859424143251,12.7626454490734,0.0422046471950602
8,90.5944603183267,8.452641319511,0.000317336606554651
