"","QV5e-04","QV0.0015","QV0.0025","QV0.0035","QV0.0045","QV0.0055"
"merT-26.875",3.64971211929312,NA,NA,NA,NA,NA
"merT-23.125",1.82099160589615,NA,NA,NA,NA,NA
"merT-19.375",2.77775006238599,2.29954459725205,NA,NA,NA,NA
"merT-15.625",3.79324898965088,2.00561245979112,NA,NA,NA,NA
"merT-11.875",0.650644002345213,0.732003099022961,1.15010578707584,NA,NA,NA
"merT-8.125",0.49348252809459,-0.186378632326532,-0.777133366552356,0.608571334978174,NA,NA
"merT-4.375",2.66935606543253,0.48777089496269,-0.460405591511971,-0.114271013581312,-1.02879281739484,NA
"merT-0.625",10.3930465795575,7.53492258154746,0.324268405297964,3.83230238875614,2.51184344547129,-7.13293557872722
"merT3.125",NA,NA,NA,NA,-3.53913970878965,-14.0696051875564
