jbin,bin,dglaciation,N,dEtemp,dmerT,dtemp,domega,daLTS,dERH,dmerRH,daRH,dXRHi,dmerwindspeed,dmerQV,dfdust,dSO4,dmerBC,dmerOC,dmerdust,dfBC,dfOC,dDMS,dSS
1,0,-7.89533086915706,952,-0.331623632627257,-0.613885211046632,-0.567978063700761,0.00446654234885343,0.13480375769622,-1.53585440401371,-0.270021225299328,-0.414854039251535,0.0666871829155579,1.14544722847401,-0.000112147074335883,-26.257345181059,81.8803499713263,6.47044646799085,74.0658090451349,533.867004052984,-4.72287672145143,-29.6682140132979,-101.465504125109,5.12265548498452
1,1,-2.81448052898054,3222,-0.164449992641977,-0.239040347299776,-0.113119598999978,-0.00297889297743724,0.300528197641326,0.118184371921559,-0.0967155356968951,0.0127375634835398,0.123031017390667,0.00922071036955033,-4.40046282747077e-05,-12.6187559487078,49.2692510504622,6.71971401684078,70.1324695139013,467.417696600573,2.63596036965274,1.58744612383933,122.689263926403,3.63119900498467
1,2,-0.76080642202988,7205,0.0142924035531891,-0.0104169719760136,-0.0395830938524448,0.00114468663097126,0.260035553002986,-0.29011505046486,-0.119893315559101,-0.046114647484679,-0.0153662782753483,0.350055423652901,-6.12305522511693e-06,-15.4805508481646,54.1883703107442,3.47884214520929,29.277487979756,282.601312098751,1.34933512628663,-21.8034850664438,36.4555056923473,1.65400377504723
1,3,0.329382684192359,16581,-0.0195244415251991,-0.173034418456331,-0.200052118173714,-0.00236943959012672,0.122352909104538,-0.251057981733697,-0.0270160808098534,-0.185983414015733,-0.0260829503676126,0.143274246353082,-2.3830523767164e-05,-11.546322059487,40.6922879637045,5.09910845648982,57.7945009638705,242.799694603695,0.725207700860005,-23.3183706981832,-123.937382924914,2.21863072976234
1,4,1.29823780654997,18288,-0.105665814791569,-0.12819590857438,-0.0440425280067132,0.0043939204910151,0.158302894999209,-0.207426611070177,-0.126777601041934,-0.155054091055168,-0.132665188240003,-0.104072711410629,-3.03548996051707e-05,5.49233527219897,40.3671047243139,5.83739748957927,74.0611856821212,278.417237456069,1.94173479936567,-12.2892163125685,-297.839932379859,2.84216488767569
1,5,2.03593392760391,12051,-0.0411317567722978,-0.193618332849252,-0.0643851752775328,-0.00275839655195598,0.197629198063716,-0.647857962844991,-0.0645225311235585,-0.102543786137564,-0.0592977282314889,0.153066901336838,-3.48980413333148e-05,4.85121730639967,33.167420585159,2.42288519505396,18.8782331174475,212.098540592209,0.454929012732562,-21.0289094563194,-93.12346870933,3.69565473620128
1,6,3.03713626716715,1397,-0.171213200935854,-0.503873304633097,-0.234207366050424,0.0222875287531154,0.119168855646765,-0.044138796297716,-0.0876863344181658,-0.0173000194788102,0.204502756835211,0.309393705940165,-9.60754595574179e-05,52.5633476834467,42.0937761951568,8.61374853088272,139.051317883073,342.726422444843,6.14961031457178,-5.71290656523089,-188.033418179197,2.7495912734976
1,7,5.87901072231573,1182,0.122277563484406,0.0618367084538756,0.28130488588878,0.000612354548376717,0.332726734310427,0.839716329154612,-0.17639022822244,0.675120540019293,0.483508258702399,-0.450950980392164,4.43426550948212e-06,16.1684345869495,32.7777242044364,6.0037769206044,78.6591288974598,452.478286724534,1.48460302153649,-7.17042751526854,-263.33273866924,1.22769206043071
1,8,8.15409336653089,3206,-0.0552915598841838,-0.346726758098608,-0.237581261764587,0.000561056374084873,0.58868973486086,-0.849573680916097,-0.194285935243424,-0.0439995679933912,0.176674405629901,0.963864619005865,-6.80509809660419e-05,-42.2025575937391,68.5888694633733,7.8272531530771,64.2473306318352,612.302377676685,4.76705665382248,-43.6979099646024,-52.0302529606443,6.43083321154501
1,9,14.4822399629757,392,0.190113155154462,0.0179634386208498,0.853625361564281,0.00818737012611367,2.11392134489088,3.24134837440706,-0.349600833044078,1.51831539974546,0.932011595270353,2.71009348605809,-1.4240425778086e-05,78.0102510702307,250.703690848084,28.8743954645379,361.142265417102,1779.66083535808,8.3749855374291,13.6171236839061,-138.519888927455,10.9251185930811
