jbin,bin,dglaciation,N,dEtemp,dmerT,dtemp,domega,daLTS,dERH,dmerRH,daRH,dXRHi,dmerwindspeed,dmerQV,dfdust,dSO4,dmerBC,dmerOC,dmerdust,dfBC,dfOC,dDMS,dSS
1,0,-8.50818955149931,44899,-0.151570569167074,-0.161927910560585,-0.00949152611032266,0.019086730757036,-0.155899530321235,2.4816733421044,2.83563704201151,2.51735089895268,2.81110724606532,0.556145013850527,4.47536603189761e-05,197.711928412601,12.966557551502,-1.97303395073573,-43.2638201967556,179.86575040642,7.67467754898349,72.9199144588808,338.418429256821,-3.08276556422032
1,1,-3.25330521483046,30344,-0.175283776629919,-0.212753617155395,-0.0186039726874859,-0.00703298554348391,-0.448769106083432,0.787223085916949,2.5618501237922,3.88316548762071,4.38835034129781,1.48697603922843,2.53768787470798e-05,220.968444519839,37.4597689069494,2.95264695778979,37.1312751889368,152.625978443506,7.02370512088928,17.5135014885994,185.504174319929,1.13702216173557
1,2,-1.50405485186658,210105,0.158845524692261,-0.0816558486377857,-0.0515631816189763,-1.82861978471944e-05,-0.200407189514956,0.574842066245118,1.20475939030475,1.89591562288873,2.17479291189953,0.658533272255951,1.58395498105409e-05,177.197570138192,-24.3736514298097,-1.00583140843235,-1.74959933928198,-52.8096028418211,3.29274700068436,14.8301393957422,139.721116840432,-1.54414988369312
1,3,-0.749711559604666,33316,0.0142230000185968,0.0130698112876717,0.0724232643893996,-0.0136164057490255,-0.106615904621642,1.55295360082875,2.75853043404741,3.16330817988951,3.5085707031708,0.880337133627721,5.71889581235486e-05,202.248314872359,41.9273775366355,4.29325216614268,55.2717447941696,253.600027891513,5.77232191567178,9.00530201825553,213.180055437419,3.24622588102055
1,4,0.605398509971559,102956,0.0150387005506275,-0.140036331083853,-0.0274960765259311,-0.00255329771066664,-0.125685467878423,0.680030847573762,1.81238350785992,1.25690829354213,1.44494389481709,0.541466478018601,1.62625608006784e-05,176.409612063507,-2.5338667322762,0.140169035187547,11.3715459432779,103.122217574109,7.09112939328455,85.6754411960515,135.181634623387,-0.673824128523285
1,5,1.93734972611804,58073,-0.0671555374137238,-0.0420671708697708,-0.214688402851083,-0.00302215060820525,-0.233199540921218,0.0935900428587719,1.75067580359558,2.24969479968035,2.71261719687977,0.569834521781958,3.08111018717354e-05,172.465416242497,-5.16745796680396,-2.05059699268456,-24.3149305990731,56.2458621694256,2.5549735532882,-25.688152817053,237.369544696673,3.10259136374921
1,6,2.20394845323915,12343,-0.0356458858715725,-0.215486042927565,-0.185383349550691,0.00893941278288572,0.294787895463302,-0.116339018675823,-0.836661378692902,-0.288864622729427,-0.161862469889969,1.42440788010046,-4.38394479378184e-05,200.621673757506,-11.418040262123,1.86875639830087,41.6634370662521,103.274875104347,-0.035168103664251,91.311506702276,-205.666668421306,-0.622612654369628
1,7,4.22354958151551,53076,0.117763312643579,-0.0631721615697169,-0.0193891062037458,-0.00278833382665124,0.11368077792067,1.93333203045832,-0.111862997766968,1.52635801532671,1.73128650803441,0.645979335262492,-6.84619401923143e-06,209.023703006472,22.2372620733444,2.14845288986553,12.7146900351472,239.831480564282,6.58149707344744,50.6718994440364,308.724760780188,3.89107973450683
1,8,6.20450325001392,63799,-0.076174098817744,-0.0878219697715811,-0.00818563769289538,-0.00856008653796167,-0.112709689322842,0.7546239068363,1.68440366018264,1.17334603598388,1.32152967313344,0.430320382128488,2.17170309899814e-05,189.706639220934,15.5521415334759,0.554693273546521,-5.86626690417487,299.716457774327,7.13521990995711,71.9581467802988,72.3632595446224,1.18181348427747
1,9,15.8178486823405,5850,-0.142803674878174,-0.524311942276974,0.0652000698694286,-0.00727301327010543,-0.102295657295538,11.2394713193926,8.41557163178842,11.901957982246,13.2311689032686,0.301942489841561,0.000109815606974169,234.343374531495,61.3019167605432,-2.28588354732475,-70.9345238009564,608.941738251733,16.117672478977,94.9317078138604,-813.703813173034,-42.0606606009525
