lonbin,latbin,zbin,N,meandust,mean_overlap,fmid,area
21,70,1,26694,1629.76959221639,0.045838496375976,0.484348231371417,172938.15604629
21,70,2,59471,1631.13705882742,0.0220702130870026,1.0438062580892,172938.15604629
21,70,3,24969,1929.41829734987,0.0181122877807261,1.63145475912593,172938.15604629
21,70,4,65969,1865.32583914307,0.00825300840845628,2.68308229069313,172938.15604629
21,70,5,40026,1844.74393865361,0.00760612423215601,4.6534156452008,172938.15604629
21,70,6,27933,1631.06427587864,0.0096607838255718,6.58236211161599,172938.15604629
21,70,7,16102,1401.84264809134,0.00395820281866399,8.35049214692614,172938.15604629
21,70,8,8531,1027.81380981796,0.0017370345541746,9.92739785300485,172938.15604629
-7,63,1,30015,1100.26070772095,0.0804011694551859,0.460104692348599,242615.807744197
-7,63,2,65291,1246.78255806829,0.0526170556056452,1.04566269293119,242615.807744197
-7,63,3,23980,1564.33002554674,0.0243356352432775,1.63159246565665,242615.807744197
-7,63,4,68900,1845.61383142825,0.00795925718151614,2.66119927462419,242615.807744197
-7,63,5,42149,1927.44848927287,0.00407689608416962,4.61975410236503,242615.807744197
-7,63,8,9622,981.913134281693,0.0020257847612243,9.92558154416129,242615.807744197
-7,63,6,29270,1770.64572120253,0.00340338641604577,6.5492507855039,242615.807744197
-7,63,7,17306,1520.36585839698,0.00550813095241492,8.34000501868679,242615.807744197
133,70,1,22441,1668.64673437571,0.0432535800642132,0.486635556925056,172938.15604629
133,70,2,55323,1853.46135742649,0.0272569043086454,1.04353241331697,172938.15604629
133,70,3,22662,2055.71590791203,0.0219498666431548,1.62907475488952,172938.15604629
133,70,4,60108,2105.9034819011,0.00846146030234192,2.67346483468886,172938.15604629
133,70,6,24190,2147.22953402809,0.00606891203626354,6.56008672406881,172938.15604629
133,70,7,13060,1981.41104852456,0.00426668300579379,8.31772730882069,172938.15604629
133,70,8,8126,1405.84679646245,0.00440058648779659,9.91620231902949,172938.15604629
112,77,1,13303,1831.70584733376,0.0168586985571171,0.519656657956968,79321.9804197979
112,77,2,39556,1970.30193583426,0.0125401166257037,1.05975497301009,79321.9804197979
112,77,3,17169,2554.71934446467,0.0116061612934788,1.63406877976357,79321.9804197979
112,77,4,48208,2172.81577562579,0.00343437861129398,2.68989186431702,79321.9804197979
112,77,5,27928,2084.49588340557,0.00199831804315238,4.64176423217328,79321.9804197979
112,77,6,17927,2021.39481356473,0.00227533873432912,6.52934163661133,79321.9804197979
112,77,8,7441,1146.18275251979,0.00196688752325702,9.87432021767855,79321.9804197979
112,77,7,10323,1806.78144813601,0.00185142329229704,8.32446471380418,79321.9804197979
-35,63,1,27301,1379.64717657819,0.0457033872865158,0.476640686696486,242615.807744197
-35,63,2,64729,1471.58618856652,0.0190126481148991,1.04811425780166,242615.807744197
