lonbin,latbin,zbin,n_mer,meandust_mer,mean_overlap_mer,fmid_mer,area,n_flex,meandust_flex,mean_overlap_flex,fmid_flex
21,70,1,26694,1629.76959221639,0.045838496375976,0.484348231371417,172938.15604629,400,1768.912675,0.07184,0.40286
21,70,2,59471,1631.13705882742,0.0220702130870026,1.0438062580892,172938.15604629,20695,1567.20103261657,0.0315322541676734,0.751064363372795
21,70,3,24969,1929.41829734987,0.0181122877807261,1.63145475912593,172938.15604629,10625,862.260119529412,0.0187151058823529,1.25107924705882
21,70,4,65969,1865.32583914307,0.00825300840845628,2.68308229069313,172938.15604629,10625,525.731732705882,0.0141353411764706,1.75107924705882
21,70,5,40026,1844.74393865361,0.00760612423215601,4.6534156452008,172938.15604629,10764,289.445667967298,0.00686394463024898,3.00107181345225
21,70,6,27933,1631.06427587864,0.0096607838255718,6.58236211161599,172938.15604629,10103,254.3041502524,0.00845743838463823,5.00114223497971
21,70,7,16102,1401.84264809134,0.00395820281866399,8.35049214692614,172938.15604629,9043,283.009934756165,0.00784341479597479,7.00120148180913
21,70,8,8531,1027.81380981796,0.0017370345541746,9.92739785300485,172938.15604629,7422,407.5170978173,0.0029397062786311,9.00101765022905
-7,63,1,30015,1100.26070772095,0.0804011694551859,0.460104692348599,242615.807744197,NA,NA,NA,NA
-7,63,2,65291,1246.78255806829,0.0526170556056452,1.04566269293119,242615.807744197,21996,926.762282687761,0.072574104382615,0.749909074377159
-7,63,3,23980,1564.33002554674,0.0243356352432775,1.63159246565665,242615.807744197,11238,809.329962626802,0.0388739989321943,1.25
-7,63,4,68900,1845.61383142825,0.00795925718151614,2.66119927462419,242615.807744197,11238,615.30579373554,0.0184554191137213,1.75
-7,63,5,42149,1927.44848927287,0.00407689608416962,4.61975410236503,242615.807744197,11244,362.273973674849,0.00674653148345784,3
-7,63,8,9622,981.913134281693,0.0020257847612243,9.92558154416129,242615.807744197,8142,360.751371898796,0.00314805944485385,9
-7,63,6,29270,1770.64572120253,0.00340338641604577,6.5492507855039,242615.807744197,10579,244.170149352491,0.00338037621703375,5
-7,63,7,17306,1520.36585839698,0.00550813095241492,8.34000501868679,242615.807744197,9392,266.961339437819,0.00449723168654174,7
133,70,1,22441,1668.64673437571,0.0432535800642132,0.486635556925056,172938.15604629,214,1988.66672897196,0.0371775700934579,0.379299065420561
133,70,2,55323,1853.46135742649,0.0272569043086454,1.04353241331697,172938.15604629,18934,1788.28237245167,0.0364920249286997,0.750107320164783
133,70,3,22662,2055.71590791203,0.0219498666431548,1.62907475488952,172938.15604629,9912,1009.30878430186,0.0237130750605327,1.2501060330912
133,70,4,60108,2105.9034819011,0.00846146030234192,2.67346483468886,172938.15604629,9912,638.615130145279,0.0170621468926554,1.7501060330912
133,70,6,24190,2147.22953402809,0.00606891203626354,6.56008672406881,172938.15604629,9195,250.285421424687,0.00288243610657966,5.00011179989125
133,70,7,13060,1981.41104852456,0.00426668300579379,8.31772730882069,172938.15604629,7624,346.395524658972,0.00552236358866737,7.00011791710388
133,70,8,8126,1405.84679646245,0.00440058648779659,9.91620231902949,172938.15604629,5709,482.262413732703,0.00528385006130671,9.00012856892626
112,77,1,13303,1831.70584733376,0.0168586985571171,0.519656657956968,79321.9804197979,NA,NA,NA,NA
112,77,2,39556,1970.30193583426,0.0125401166257037,1.05975497301009,79321.9804197979,12548,2164.15110137074,0.0144890022314313,0.749960153012432
