level,numeric_month,month,dCRE,dCREhi,dCRElo,frac_ltn10,mean_fdust,mean_mdust,sza,ids,color
BOA,5,May,4.21663312085092,16.9029848351249,1.0595961497156,93.3878822717375,301.24321915732,3692.65414772153,59.9001575081633,1,#828282
BOA,6,Jun,6.27399956450152,15.2217744709386,1.6343092136977,57.2084110238897,238.933477948215,2121.7451126996,57.7693409298973,2,#8A8A8A
BOA,7,Jul,1.54560497354126,2.0406091129912,0.690427680511748,30.4574503316687,220.843654774446,1112.3570968097,60.5879113988131,3,#7E7E7E
BOA,8,Aug,2.2194829659397,5.52991386905101,0.570349590974542,42.8983431402911,212.692347337821,703.762051801384,68.9669445822687,4,#5C5C5C
BOA,9,Sep,-0.776847056974664,-0.0314775377559327,-1.43986446642189,93.6198692469046,220.676457417762,813.25080940134,80.2109982789054,5,#2A2A2A
TOA,5,May,1.49109230010105,16.3584450615409,0.475759923209461,93.3878822717375,301.24321915732,3692.65414772153,59.9001575081633,1,#828282
TOA,6,Jun,4.79544815429364,10.7863242274434,1.2517674152475,57.2084110238897,238.933477948215,2121.7451126996,57.7693409298973,2,#8A8A8A
TOA,7,Jul,2.00379261761685,3.84235248140012,0.687132691022049,30.4574503316687,220.843654774446,1112.3570968097,60.5879113988131,3,#7E7E7E
TOA,8,Aug,1.05183930009894,1.05183930009894,0.415745764768795,42.8983431402911,212.692347337821,703.762051801384,68.9669445822687,4,#5C5C5C
TOA,9,Sep,-1.04885772445516,-0.310218755943156,-2.32953443547387,93.6198692469046,220.676457417762,813.25080940134,80.2109982789054,5,#2A2A2A
